IDSTUD, MP61026, MP61273, MP61034, MP61040, MP61228, MP61166, MP61171, MP61222, MP61275, MP61027, MP61255, MP61021, MP61043, MP61151, MP61172, MP61223
50030203,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
50030211,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1
50040408,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1
50040416,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1
50040424,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1
50060207,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
50060215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50080207,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1
50080215,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
50080223,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50090604,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
50090612,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
50090620,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
50090628,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1
50100106,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1
50100114,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
50100122,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
50110508,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
50110516,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1
50150302,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1
50220306,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1
50220314,1,1,0,1,,1,1,1,1,1,1,0,0,1,0,1
50220322,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
50230102,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
50250404,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
50250412,1,1,1,1,0,1,1,1,1,0,,0,1,1,0,1
50250420,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
50260216,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0
50260224,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
50270902,1,1,0,1,0,1,,1,1,0,0,0,1,1,0,1
50270910,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
50270918,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
50270926,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
50280202,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
50280210,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
50280218,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
50280226,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1
50280234,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
50330502,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1
50330510,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1
50330518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50350302,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
50350310,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
50350318,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50400508,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
50400516,1,1,1,1,,1,1,1,1,0,0,,1,1,0,0
50400524,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
50420405,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50420413,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
50420421,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
50420429,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
50430303,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1
50430311,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
50430319,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
50450103,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1
50450111,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
50450119,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
50450127,1,0,1,1,0,1,1,1,1,1,1,,0,1,,1
50460110,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
50460118,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
50460126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50520108,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
50520116,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50520124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50570104,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50570112,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
50570120,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0
,,,,,,,,,,,,,,,,
50580211,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
50610403,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
50610411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50610419,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1
50620107,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1
50620115,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
50630402,1,1,1,1,1,1,1,0,,1,1,1,1,1,0,1
50630410,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
50630418,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
50720502,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
50720510,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1
50720518,1,1,1,1,,,0,1,1,1,0,0,0,1,0,1
50730204,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
50730212,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
50730220,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50740506,1,,0,1,0,1,1,1,1,0,0,1,1,1,0,1
50740514,1,1,0,0,0,1,1,1,1,1,,,1,1,,1
50740522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50790110,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50790118,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
50820808,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
50820816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
50820824,1,1,0,1,,0,0,1,0,1,0,0,0,1,0,1
50840503,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1
50840511,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
50840519,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50860406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
50860414,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
