Item ID,Item Type,Key,Content Domain
MP51043,CR,–,Number
MP51040,MC,A,Number
MP51008,CR,–,Number
MP51031A,CR,–,Number
MP51031B,CR,–,Number
MP51508,CR,–,Number
MP51216A,MC,A,Measurement and Geometry
MP51216B,MC,B,Measurement and Geometry
MP51221,MC,B,Measurement and Geometry
MP51115,MC,D,Measurement and Geometry
MP51507A,CR,–,Data
MP51507B,CR,–,Data
MP61026,MC,C,Number
MP61273,MC,D,Number
MP61034,CR,–,Number
MP61040,MC,A,Number
MP61228,CR,–,Number
MP61166,CR,–,Number
MP61171,MC,A,Number
MP61080,CR,–,Measurement and Geometry
MP61222,MC,D,Number
MP61076,CR,–,Measurement and Geometry
MP61084,CR,–,Data
MP51206,CR,–,Number
MP51052,MC,C,Number
MP51049,MC,B,Number
MP51045,CR,–,Measurement and Geometry
MP51098,MC,D,Number
MP51030,CR,–,Number
MP51502,MC,D,Measurement and Geometry
MP51224,MC,A,Measurement and Geometry
MP51207,MC,B,Measurement and Geometry
MP51427,MC,C,Measurement and Geometry
MP51533,CR,–,Measurement and Geometry
MP51080,CR,–,Data
MP61018,CR,–,Number
MP61018A,MC,A,Number
MP61018B,MC,A,Number
MP61018C,MC,B,Number
MP61018D,MC,A,Number
MP61274,MC,B,Number
MP61248,CR,–,Number
MP61039,CR,–,Number
MP61079,CR,–,Number
MP61179,MC,C,Number
MP61052,MC,D,Number
MP61207,MC,D,Measurement and Geometry
MP61236,CR,–,Measurement and Geometry
MP61266,CR,–,Measurement and Geometry
MP61106,MC,A,Data
MP51401,CR,–,Number
MP51075,MC,C,Number
MP51402,CR,–,Number
MP51226,MC,B,Number
MP51131,CR,–,Number
MP51103,MC,C,Number
MP51217,CR,–,Measurement and Geometry
MP51079,CR,–,Measurement and Geometry
MP51211,MC,A,Measurement and Geometry
MP51102,MC,C,Measurement and Geometry
MP51009,CR,–,Data
MP51100,MC,A,Data
MP61275,MC,B,Number
MP61027,CR,–,Number
MP61255,CR,–,Number
MP61021,CR,–,Number
MP61043,CR,–,Number
MP61151,MC,D,Number
MP61172,MC,A,Number
MP61223,MC,C,Number
MP61269,MC,D,Measurement and Geometry
MP61081A,CR,–,Measurement and Geometry
MP61081B,CR,–,Measurement and Geometry
MP61178,CR,–,Number
MP61246,MC,C,Number
MP61271,CR,–,Number
MP61256,CR,–,Number
MP61182,CR,–,Number
MP61049,MC,C,Number
MP61232,MC,A,Number
MP61095,CR,–,Measurement and Geometry
MP61264,CR,–,Number
MP61108,MC,B,Measurement and Geometry
MP61211A,CR,–,Data
MP61211B,MC,B,Data
MP61240,CR,–,Number
MP61240A,MC,A,Number
MP61240B,MC,A,Number
MP61240C,MC,B,Number
MP61254,CR,–,Number
MP61244,MC,C,Number
MP61041,MC,B,Number
MP61173,CR,–,Number
MP61252,MC,D,Number
MP61261,CR,–,Number
MP61224,CR,–,Measurement and Geometry
MP61077,MC,A,Measurement and Geometry
MP61069A,CR,–,Data
MP61069B,CR,–,Data
